x,y,z,k
-2.777,-49.422,25.226,619.5727
-2.777,-49.422,25.890,619.2622
-2.777,-49.422,26.554,618.9477
-2.777,-49.422,27.219,618.6164
-2.777,-49.422,27.883,618.2920
-2.777,-49.422,28.547,618.0767
-2.777,-49.422,29.211,617.8512
-2.777,-49.422,29.875,617.5711
-2.777,-49.422,30.539,617.2412
-2.777,-49.422,31.203,616.8660
-2.777,-49.422,31.867,616.5968
-2.777,-49.422,32.531,616.3110
-2.777,-49.422,33.196,616.0428
-2.777,-49.422,33.860,615.8197
-2.777,-48.286,-18.605,603.3940
-2.777,-48.286,-17.941,603.5680
-2.777,-48.286,-17.277,603.8244
-2.777,-48.286,-16.613,604.1575
-2.777,-48.286,-15.949,604.6020
-2.777,-48.286,-15.284,605.0262
-2.777,-48.286,-14.620,605.3129
-2.777,-48.286,-13.956,605.6327
-2.777,-48.286,-13.292,606.0534
-2.777,-48.286,-12.628,606.3688
-2.777,-48.286,-11.964,606.6908
-2.777,-48.286,-11.300,607.0730
-2.777,-48.286,-10.636,607.4297
-2.777,-48.286,-9.972,607.8472
-2.777,-48.286,-9.307,608.1801
-2.777,-48.286,-8.643,608.5491
-2.777,-48.286,-7.979,608.9685
-2.777,-48.286,-7.315,609.3319
-2.777,-48.286,-6.651,609.6825
-2.777,-48.286,-5.987,610.0214
-2.777,-48.286,-5.323,610.3826
-2.777,-48.286,-4.659,610.7658
-2.777,-48.286,-3.995,611.1386
-2.777,-48.286,-3.330,611.5201
-2.777,-48.286,-2.666,611.8880
-2.777,-48.286,-2.002,612.2589
-2.777,-48.286,-1.338,612.6759
-2.777,-48.286,-0.674,613.1014
-2.777,-48.286,-0.010,613.5119
-2.777,-48.286,0.654,613.9241
-2.777,-48.286,1.318,614.3232
-2.777,-48.286,1.982,614.7858
-2.777,-48.286,2.647,615.2634
-2.777,-48.286,3.311,615.7287
-2.777,-48.286,3.975,616.2140
-2.777,-48.286,4.639,616.6641
-2.777,-48.286,5.303,617.1000
-2.777,-48.286,5.967,617.5300
-2.777,-48.286,6.631,617.9884
-2.777,-48.286,7.295,618.4537
-2.777,-48.286,7.959,618.8953
-2.777,-48.286,8.624,619.3296
-2.777,-48.286,9.288,619.6949
-2.777,-48.286,9.952,620.0702
-2.777,-48.286,10.616,620.4755
-2.777,-48.286,11.280,620.8382
-2.777,-48.286,11.944,621.1972
-2.777,-48.286,12.608,621.5220
-2.777,-48.286,13.272,621.7956
-2.777,-48.286,13.936,622.0829
-2.777,-48.286,14.600,622.3480
-2.777,-48.286,15.265,622.5580
-2.777,-48.286,15.929,622.6969
-2.777,-48.286,16.593,622.8259
-2.777,-48.286,17.257,622.9840
-2.777,-48.286,17.921,623.0804
-2.777,-48.286,18.585,623.1193
-2.777,-48.286,19.249,623.1280
-2.777,-48.286,19.913,623.0985
-2.777,-48.286,20.577,623.0289
-2.777,-48.286,21.242,622.9381
-2.777,-48.286,21.906,622.8298
-2.777,-48.286,22.570,622.6761
-2.777,-48.286,23.234,622.4652
-2.777,-48.286,23.898,622.2472
-2.777,-48.286,24.562,621.9936
-2.777,-48.286,25.226,621.7115
